Banjara,English
"Nahi, ma bahar gayo.","No, I went outside."
"Haa, ma kaam karyo.","Yes, I worked."
"Nahi, kal kaam nai.","No, there was no work yesterday."
"Haa, ma chai piyo.","Yes, I drank tea."
"Nahi, kal chai nai.","No, not yesterday."
"Haa, ma pani piyo.","Yes, I drank water."
"Nahi, pani piyo nai.","No, I did not drink water."
"Haa, ma savere uthyo.","Yes, I woke up early."
"Nahi, der thi uthyo.","No, I woke up late."
"Haa, ma ghar saaf karyo.","Yes, I cleaned the house."
"Nahi, saaf karyo nai.","No, I did not clean."
"Haa, ma maa ne madad kidi.","Yes, I helped my mother."
"Nahi, madad kidi nai.","No, I did not help."
"Haa, ma raat ma suto.","Yes, I slept at night."
"Nahi, raat ma suto nai.","No, I did not sleep at night."
"Haa, ma phone joyo.","Yes, I checked the phone."
"Nahi, phone joyo nai.","No, I did not check the phone."
"Haa, ma ghar ma rahuchu.","Yes, I will stay at home."
"Nahi, ma bahar jaso.","No, I will go outside."
"Haa, ma kaam karuchu.","Yes, I will work."
"Nahi, kal kaam nai.","No, there will be no work tomorrow."
"Haa, ma chai piosu.","Yes, I will drink tea."
"Nahi, kal chai nai.","No, not tomorrow."
"Haa, ma pani piuchu.","Yes, I will drink water."
"Nahi, pani piuchu nai.","No, I will not drink water."
"Haa, ma savere uthuchu.","Yes, I will wake up early."
"Nahi, kal der thi uthuchu.","No, I will wake up late tomorrow."
"Haa, ma ghar saaf karuchu.","Yes, I will clean the house."
"Nahi, saaf karuchu nai.","No, I will not clean."
"Haa, ma maa ne madad karuchu.","Yes, I will help my mother."
"Nahi, madad karuchu nai.","No, I will not help."
"Haa, ma raat ma sutochu.","Yes, I will sleep at night."
"Nahi, raat ma sutochu nai.","No, I will not sleep at night."
"Haa, ma phone joso.","Yes, I will check the phone."
"Nahi, phone joso nai.","No, I will not check the phone."
"Haa, ma savere ghar ma rahyo chhu.","Yes, I stay at home in the morning."
"Nahi, ma sanjh vakhte bahar jaro chhu.","No, I go outside in the evening."
"Haa, ma savere kaam karochu.","Yes, I work in the morning."
"Nahi, ma aaj dopahar kaam nai karochu.","No, I do not work in the afternoon today."
"Haa, ma savere chai piyo chhu.","Yes, I drink tea in the morning."
"Nahi, ma raat vakhte chai nai piyo.","No, I do not drink tea at night."
"Haa, ma dopahar pani piyo chhu.","Yes, I drink water in the afternoon."
"Nahi, ma savere pani nai piyo.","No, I do not drink water in the morning."
"Haa, ma savere jaldi uthochu.","Yes, I wake up early in the morning."
"Nahi, ma aaj savere der thi uthyo.","No, I woke up late today morning."
"Haa, ma sanjh vakhte ghar saaf karochu.","Yes, I clean the house in the evening."
"Nahi, ma aaj ghar saaf nai karochu.","No, I do"
Ma aaj school nai gayo.,I did not go to school today.
Ma raat ma bahar nai gayo.,I did not go out at night.
Ma chai nai piyo.,I did not drink tea.
Ma aaj kaam nai karyo.,I did not work today.
Ma bazaar nai gayo.,I did not go to the market.
Ma pani aaj nai piyo.,I did not drink water today.
Ma savere jaldi nai uthyo.,I did not wake up early.
Ma TV nai joyo.,I did not watch TV.
Ma phone aaj nai joyo.,I did not check the phone today.
Ma raat ma jaldi nai suto.,I did not sleep early at night.
Ma ghar saaf nai karyo.,I did not clean the house.
Ma maa ne madad nai kidi.,I did not help my mother.
Ma aaj khana nai khayo.,I did not eat food today.
Ma school ma abhyas nai karyo.,I did not study at school.
Ma dosto sobat aaj nai malyo.,I did not meet friends today.
Ma khet ma kaam nai karyo.,I did not work in the field.
Ma kal gaav nai gayo.,I did not go to the village yesterday.
Ma aaj bahar nai jaro.,I am not going outside today.
Ma paisa aaj kharch nai karyo.,I did not spend money today.
Ma raat ma kahani nai sambhli.,I did not listen to stories at night.
Ma ghar ma rahyo chhu.,I live in the house.
Ma mez upar pustak mukochu.,I keep the book on the table.
Ma ghar thi school jaro chhu.,I go to school from home.
Ma maa sathe bazaar jaro chhu.,I go to the market with my mother.
Ma darwaja paas ubho chhu.,I stand near the door.
Ma khet ma kaam karochu.,I work in the field.
Ma kursi upar bethochu.,I sit on the chair.
Ma bag ma pustak rakhochhu.,I keep the book in the bag.
Ma ghar ni bahar ubho chhu.,I stand outside the house.
Ma mitra pase bethochu.,I sit beside my friend.
Ma raste par chalochu.,I walk on the road.
Ma ped niche ubho chhu.,I stand under the tree.
Ma kamra andar rahyo chhu.,I stay inside the room.
Ma school sudhi jaro chhu.,I go up to the school.
Ma ghar pacha aaochu.,I come back to the house.
Ma ghar ma nai rahyo.,I do not stay in the house.
Ma mez upar pustak nai mukochu.,I do not keep the book on the table.
Ma school thi nai aaochu.,I do not come from school.
Ma maa sathe bazaar nai jaro.,I do not go to the market with my mother.
Ma darwaja paas nai ubho.,I do not stand near the door.
Ma khet ma kaam nai karochu.,I do not work in the field.
Ma kursi upar nai bethochu.,I do not sit on the chair.
Ma bag ma pustak nai rakhochhu.,I do not keep the book in the bag.
Ma ghar ni bahar nai rahyo.,I do not stay outside the house.
Ma mitra pase nai bethochu.,I do not sit beside my friend.
Ma raste par nai chalochu.,I do not walk on the road.
Ma ped niche nai ubho.,I do not stand under the tree.
Ma kamra andar nai rahyo.,I do not stay inside the room.
Ma school sudhi nai jaro.,I do not go up to the school.
Ma ghar pacha nai aaochu.,I do not come back to the house.
Ma school jaro chhu ani ma abhyas karochu.,I go to school and I study.
Ma ghar ma rahyo chhu ani kaam karochu.,I stay at home and work.
Ma chai piyo chhu pan coffee nai piyo.,I drink tea but I do not drink coffee.
Ma savere uthochu pan vyayam nai karochu.,I wake up early but I do not exercise.
Ma khana khayo chhu etle ma santusht chhu.,I eat food so I am satisfied.
Ma barish pade chhe etle ma bahar nai jaro.,It is raining so I do not go outside.
Ma school jaro chhu karan ma shikva maango chhu.,I go to school because I want to learn.
Ma kaam karochu karan paisa joiye.,I work because I need money.
Tu chai pive chhe ke pani pive chhe?,Do you drink tea or water?
Ma bazaar jaro chhu ke ghar ma rahyo chhu.,I go to the market or stay at home.
Ma pustak vachochu jyare ma free rahyo chhu.,I read a book when I am free.
Ma radio sambhlochu jyare ma kaam karochu.,I listen to the radio while I work.
Ma dosto sobat ramochu ani khush rahyo chhu.,I play with friends and stay happy.
Ma school jaro chhu pan ma late nai thayo.,I go to school but I am not late.
Ma pani piyo chhu etle ma tarsa nai rahyo.,I drink water so I am not thirsty.
Ma ghar ma rahyo chhu karan bahar garmi chhe.,I stay at home because it is hot outside.
Ma savere uthochu ani sandhya sudhi kaam karochu.,I wake up early and work till evening.
Ma TV joyochu pan mobile nai joyochu.,I watch TV but I do not use the mobile.
Ma bazaar jaro chhu jyare ma jarurat rahyo.,I go to the market when I need something.
Ma raste par chalochu ane geet gaochu.,I walk on the road and sing songs.
Arre! Ma bhool gayo.,Oh! I forgot.
Wah! Tu achho kaam karochhe.,Wow! You are doing good work.
Aiyo! Ma dard mehsoos karochu.,Ouch! I feel pain.
Arey baap re! Barish zor se pade chhe.,Oh my God! It is raining heavily.
Shabash! Tu sahi jawab diyo.,Well done! You gave the correct answer.
Hay! Ma dukhi rahyo chhu.,Alas! I am sad.
Oh ho! Tu jaldi aayo.,Oh! You came early.
Aha! Ma samajh gayo.,Ah! I understood.
Arre wah! Khana swadisht chhe.,Wow! The food is tasty.
Aiyo rama! Ma gir gayo.,Oh dear! I fell down.
Shhh! Bachcha suto chhe.,Shh! The child is sleeping.
Arey! Darwaja band chhe.,Oh! The door is closed.
Wah wah! Geet sundar chhe.,Bravo! The song is beautiful.
Hai re! Aaj garmi zyada chhe.,Oh no! It is very hot today.
Aha rama! Samay sar kaam puro thayo.,Ah! The work is finished on time.
Arre! Ma kitab ghar ma bhool gayo.,Oh! I forgot the book at home.
Wah! Aaj mausam achho chhe.,Wow! The weather is nice today.
Aiyo! Ma haath ma chot lago.,Ouch! I hurt my hand.
Arey baap re! Rasta bahut lambo chhe.,Oh my God! The road is very long.
Shabash! Tu mehnat karochhe.,Well done! You are working hard.
Hay! Ma akela mehsoos karochu.,Alas! I feel lonely.
Oh ho! Train time par aayi.,Oh! The train arrived on time.
Aha! Ma jawab samajh gayo.,Ah! I understood the answer.
Arre wah! Kapda bahut sundar chhe.,Wow! The cloth is very beautiful.
Aiyo rama! Pair slip thayo.,Oh dear! My foot slipped.
Shhh! Koi bolyo mat.,Shh! Do not speak.
Arey! Light band chhe.,Oh! The light is off.
Wah wah! Bachcha achha gaata chhe.,Bravo! The child sings well.
Hai re! Kaam bahut mushkil chhe.,Oh no! The work is very difficult.
Aha rama! Ma kaam time par karochu.,Ah! I finish the work on time.
Arre! Phone ghar ma rahyo.,Oh! The phone is at home.
Wah! Guru ji achho samjhaata chhe.,Wow! The teacher explains well.
Aiyo! Ma pair thak gayo.,Ouch! My legs are tired.
Arey baap re! Hawa tez chhe.,Oh my God! The wind is strong.
Shabash! Tu sach bolyo.,Well done! You spoke the truth.
Ma ghar ma rahyo chhu ani kaam karochu.,I stay in the house and work.
Ma school thi aaochu pan ghar ma nai rahyo.,I come from school but I do not stay at home.
Ma mez upar pustak mukochu ani pustak vachochu.,I keep the book on the table and read it.
Ma maa sathe bazaar jaro chhu karan saman joiye.,I go to the market with my mother because I need goods.
Ma darwaja paas ubho chhu pan andar nai jaro.,I stand near the door but do not go inside.
Ma khet ma kaam karochu etle ma thakyo chhu.,I work in the field so I am tired.
Ma bag ma pustak rakhochhu ani school jaro chhu.,I keep the book in the bag and go to school.
Ma ghar ni bahar ubho chhu jyare mitra aave chhe.,I stand outside the house when my friend comes.
Ma mitra pase bethochu ane vaat karochu.,I sit beside my friend and talk.
Ma raste par chalochu pan tez nai chalochu.,I walk on the road but not fast.
Ma ped niche ubho chhu karan dhoop chhe.,I stand under the tree because there is sunlight.
Ma kamra andar rahyo chhu ani pustak vachochu.,I stay inside the room and read a book.
Ma school sudhi jaro chhu pan late nai thayo.,I go up to the school but I am not late.
Ma ghar pacha aaochu ane aaram karochu.,I come back to the house and rest.
Ma maa sathe ghar ma kaam karochu jyare time rahyo.,I work at home with my mother when there is time.
Tu ghar ma kyare rahyo chhe ani kaam karochhe?,When do you stay at home and work?
Tu maa sathe bazaar kyun jaro chhe karan shu joiye?,Why do you go to the market with your mother and what do you need?
Tu mez upar shu mukochhe ani sheni mate mukochhe?,What do you keep on the table and why do you keep it?
Tu school thi kyare aaochhe pan ghar ma kyun nai rahyo?,When do you come from school but why do you not stay at home?
Tu mitra pase kyare bethochhe ane shu vaat karochhe?,When do you sit beside your friend and what do you talk about?
Tu raste par kyun chalochhe pan dhire kyun chalochhe?,Why do you walk on the road but why do you walk slowly?
Tu ped niche kyun ubho chhe karan shu chhe?,Why do you stand under the tree and what is the reason?
Tu bag ma shu rakhochhe ani kyare school jaro chhe?,What do you keep in the bag and when do you go to school?
Tu ghar ni bahar kyare ubho rahyo chhe jyare kon aave chhe?,When do you stand outside the house and who comes then?
Tu kamra andar kyun rahyo chhe ane shu karochhe?,Why do you stay inside the room and what do you do?
Tu maa sathe ghar ma shu kaam karochhe jyare time rahyo?,What work do you do at home with your mother when there is time?
Tu school sudhi kyare jaro chhe pan late kyun nai thayo?,When do you go up to the school but why are you not late?
Tu ghar pacha kyare aaochhe ane shu karochhe?,When do you come back to the house and what do you do?
Tu pani kyathi pive chhe ane kyun pive chhe?,From where do you drink water and why do you drink it?
Tu dosto sobat kyare rahyo chhe ane kyun khush rahyo chhe?,When do you stay with friends and why are you happy?
,
Ghar ma kon rahyo chhe ani kaam karochhe?,Who stays in the house and works?
School thi kon aave chhe pan ghar ma nai rahyo?,Who comes from school but does not stay at home?
Maa sathe bazaar kon jaro chhe karan saman joiye?,Who goes to the market with mother because items are needed?
Ped niche kon ubho chhe ane sheni mate?,Who is standing under the tree and why?
Kamra andar kon rahyo chhe ane shu karochhe?,Who stays inside the room and what does he do?
Mez upar shu mukochhe ani sheni mate mukochhe?,What do you keep on the table and why?
Bag ma shu rakhochhe ane school kyare jaro chhe?,What do you keep in the bag and when do you go to school?
Ghar ma shu kaam karochhe pan bahar nai jaro?,What work do you do at home but do not go outside?
Mitra pase bethine shu vaat karochhe?,What do you talk about while sitting near your friend?
Kamra andar shu karochhe ane kyun karochhe?,What do you do inside the room and why?
Tu ghar ma kyun rahyo chhe ani kaam karochhe?,Where do you stay and work?
Tu school thi kyathi aaochhe pan ghar ma nai rahyo?,Where do you come from but do not stay at home?
Tu mitra pase kyun bethochhe ane vaat karochhe?,Where do you sit with your friend and talk?
Tu ped niche kyun ubho chhe karan dhoop chhe?,Where do you stand because there is sunlight?
Tu bazaar kyun jaro chhe maa sathe?,Where do you go with your mother?
Tu ghar ma kyare rahyo chhe ani kaam karochhe?,When do you stay at home and work?
Tu school thi kyare aaochhe pan ghar ma nai rahyo?,When do you come from school but not stay at home?
Tu mitra pase kyare bethochhe ane vaat karochhe?,When do you sit with your friend and talk?
Tu ghar pacha kyare aaochhe ane aaram karochhe?,When do you come back home and rest?
Tu kamra andar kyare rahyo chhe jyare barish pade?,When do you stay inside the room when it rains?
Tu maa sathe bazaar kyun jaro chhe karan shu joiye?,Why do you go to the market with your mother and what do you need?
Tu ped niche kyun ubho chhe karan shu chhe?,Why do you stand under the tree and what is the reason?
Tu ghar ma kyun rahyo chhe pan bahar nai jaro?,Why do you stay at home but not go outside?
Tu kamra andar kyun rahyo chhe ane shu karochhe?,Why do you stay inside the room and what do you do?
Tu school sudhi kyun jaro chhe pan late nai thayo?,Why do you go up to the school but are not late?
Ma ghar ma rahyo chhu ani kaam karochu.,I stay in the house and work.
Ma school thi aaochu pan ghar ma nai rahyo.,I come from school but do not stay at home.
Ma maa sathe bazaar jaro chhu.,I go to the market with my mother.
Ma ped niche ubho chhu.,I am standing under the tree.
Ma kamra andar rahyo chhu.,I stay inside the room.
Ma mez upar pustak mukochu.,I keep a book on the table.
Ma bag ma pustak rakhochhu.,I keep a book in the bag.
Ma ghar ma kaam karochu.,I work at home.
Ma mitra sobat vaat karochu.,I talk with my friend.
Ma kamra andar pustak vachochu.,I read a book inside the room
Ma ghar ma rahyo chhu.,I stay at home.
Ma school thi aaochu.,I come from school.
Ma mitra pase bethochu.,I sit near my friend.
Ma ped niche ubho chhu.,I stand under the tree.
Ma bazaar jaro chhu.,I go to the market.
Ma savere ghar ma rahyo chhu.,I stay at home in the morning.
Ma school thi sanjh vakhte aaochu.,I come from school in the evening.
Ma mitra pase free time ma bethochu.,I sit with my friend in free time.
Ma ghar pacha raat ma aaochu.,I come back home at night.
Ma barish pade tyare kamra andar rahyo chhu.,I stay inside the room when it rains.
Karan ghar ma kaam rahyo chhe.,Because there is work at home.
Karan dhoop chhe.,Because there is sunlight.
Karan bahar garmi chhe.,Because it is hot outside.
Karan shanti joiye.,Because I need peace.
Karan samay par pahochvu chhe.,Because I need to reach on time.
Ma ghar ma nai rahyo.,I do not stay in the house.
Ma school thi nai aaochu.,I do not come from school.
Ma maa sathe bazaar nai jaro.,I do not go to the market with my mother.
Ma ped niche nai ubho.,I am not standing under the tree.
Ma kamra andar nai rahyo.,I do not stay inside the room.
Ma mez upar kai nai mukochu.,I do not keep anything on the table.
Ma bag ma pustak nai rakhochhu.,I do not keep a book in the bag.
Ma ghar ma kaam nai karochu.,I do not work at home.
Ma mitra sobat vaat nai karochu.,I do not talk with my friend.
Ma kamra andar pustak nai vachochu.,I do not read a book inside the room
Ma ghar ma nai rahyo.,I do not stay at home.
Ma school thi nai aaochu.,I do not come from school.
Ma mitra pase nai bethochu.,I do not sit near my friend.
Ma ped niche nai ubho.,I do not stand under the tree.
Ma bazaar nai jaro.,I do not go to the market.
Ma savere ghar ma nai rahyo.,I do not stay at home in the morning.
Ma sanjh vakhte school thi nai aaochu.,I do not come from school in the evening.
Ma free time ma mitra pase nai bethochu.,I do not sit with my friend in free time.
Ma raat ma ghar pacha nai aaochu.,I do not come back home at night.
Ma barish pade tyare kamra andar nai rahyo.,I do not stay inside the room when it rains.
Karan ghar ma kaam nai chhe.,Because there is no work at home.
Karan dhoop nai chhe.,Because there is no sunlight.
Karan bahar garmi nai chhe.,Because it is not hot outside.
Karan shanti joiye nai.,Because I do not need peace.
Karan samay par pahochvu nai chhe.,Because I do not need to reach on time.
Arey baap re! He tez chalo chhe.,Oh my God! He is walking fast.
Shabash! E sach bolochhe.,Well done! She is speaking the truth.
Hay! Ma udaas rahyo chhu.,Alas! I am feeling sad.
Oh ho! Ame samay par aaya chhe.,Oh! We have arrived on time.
Aha! Tu jawab samajh gayo.,Ah! You understood the answer.
Arre wah! Ve achha gaata chhe.,Wow! They sing well.
Aiyo rama! Hu girto chhu.,Oh dear! I am falling.
Shhh! Tu awaaz mat kar.,Shh! You do not make noise.
Arey! E ghar ma nai chhe.,Oh! She is not at home.
Wah wah! He madad karochhe.,Bravo! He is helping.
Hai re! Ame der thi pahuncha chhe.,Oh no! We have reached late.
Aha rama! Ve khush rahya chhe.,Ah! They are happy.
Hay! Ma dukhi rahyo chhu.,Alas! I am sad.
Aiyo! Hu thak gayo chhu.,Ouch! I am tired.
Arey! Tu gussa karochhe.,Oh! You are angry.
Hai re! He udaas chhe.,Oh no! He is unhappy.
Arre baap re! E darochhe.,Oh my God! She is afraid.
Hay rama! Ame pareshan rahya chhe.,Oh dear! We are worried.
Aiyo rama! Ve dukhi rahya chhe.,Oh dear! They are sad.
Arey! Ma bhool karochu.,Oh! I am making a mistake.
Hai! Tu khush nai chhe.,Alas! You are not happy.
Arre! He samajh nai rahyo.,Oh! He is not understanding.
Hay! E roti chhe.,Alas! She is crying.
Aiyo! Ame der thi pahuncha chhe.,Oh no! We have arrived late.
Arey re! Ve thakya chhe.,Oh dear! They are tired.
Hai re! Ma akele rahyo chhu.,Oh no! I am alone.
Arre! Tu daro chhe.,Oh! You are scared.
Ma aama ghar ma chhe.,My mother is at home.
Ma bapa kaam karochhe.,My father is working.
Ma bhai school jaato chhe.,My brother is going to school.
Ma behen gaana gaato chhe.,My sister is singing.
Ma kaka kheti karochhe.,My uncle is farming.
Ma kaki rasoi banavochhe.,My aunt is cooking.
Ma dada aaram karochhe.,My grandfather is resting.
Ma dadi kahani bolochhe.,My grandmother is telling a story.
Ma mitar madad karochhe.,My friend is helping.
Ma padosi ghar ma chhe.,My neighbor is at home.
Ma guru padhavochhe.,My teacher is teaching.
Ma sahayogi saath kaam karochhe.,My colleague is working together.
Ma beta khelto chhe.,My son is playing.
Ma beti padhati chhe.,My daughter is studying.
Ma rishtedar milva aayo chhe.,My relative has come to visit
Ma mitar madad karochhe.,My friend is helping.
Ma padosi ghar ma chhe.,My neighbor is at home.
Ma guru padhavochhe.,My teacher is teaching.
Ma shikshak samjhavochhe.,My instructor is explaining.
Ma sahayogi saath kaam karochhe.,My colleague is working together.
Ma neta baat karochhe.,My leader is speaking.
Ma grahak pratiksha karochhe.,My customer is waiting.
Ma dukandar maal detochhe.,My shopkeeper is giving goods.
Ma doctor salah detochhe.,My doctor is advising.
Ma nurse seva karochhe.,My nurse is serving.
Ma gaavwalo madad karochhe.,My villager is helping.
Ma parichit milto chhe.,My acquaintance is meeting.
Ma bhai kyare school jaato chhe?,When does my brother go to school?
Ma behen shu vachti chhe?,What is my sister reading?
Ma dada kyun betho chhe?,Where is my grandfather sitting?
Ma dadi shu bolochhe?,What is my grandmother saying?
Ma kaka shu kaam karochhe?,What work is my uncle doing?
Ma kaki kyun rasoi banavochhe?,Why is my aunt cooking?
Ma beta kyun khelto chhe?,Where is my son playing?
Ma beti kyare padhati chhe?,When does my daughter study?
Ma padosi kyare aave chhe?,When does my neighbor come?
Ma guru shu padhavochhe?,What is my teacher teaching?
Ma shikshak kyun samjhavochhe?,Why is my instructor explaining?
Ma sahayogi kon chhe?,Who is my colleague?
Ma doctor shu salah detochhe?,What advice is my doctor giving?
Ma nurse kyun seva karochhe?,Why is my nurse serving?
Ma dukandar kyare maal detochhe?,When does my shopkeeper give goods?
Ma padosi kon chhe?,Who is my neighbor?
Bharat aham arthvyavastha chhe pan!,India has become the world’s fourth‑largest economy! 
Bharat Japan ne pachi arthvyavastha ma badho!,India has overtaken Japan in economic size. 
Bharat 6G ni niti aapvi chalu kari.,India has started the new 6G policy. 
Sarkar nava Pay Commission ne lagu kari.,The government has implemented the new Pay Commission. 
Gig worker loko social suraksha maango chhe.,Gig workers are demanding social security. 
"Delivery kaamgiro bandh kari, shaher ma prabhav.","Delivery workers went on strike, affecting cities. "
Mukhyamantri Grand International Buddha Relics darshan no udyapan karyo.,The Prime Minister inaugurated the Grand International Buddha Relics Exposition. 
Rai Pithora ma Buddha Relics pradarshan lagyu.,The Buddha Relics exhibition began at Rai Pithora. 
Mumbai‑Ahmedabad bullet train pahiya tunnel ma agal vadhto chhe.,A major breakthrough was achieved in the bullet‐train tunnel project. 
"Delhi‑NCR ma hawa sudhari, AQI ni seema ghatvi.",Air quality improved in Delhi‑NCR and restrictions eased. 
Wolf Supermoon ane Quadrantid meteor shower thati chhe.,A Wolf Supermoon and Quadrantid meteor shower is occurring. 
Vishwa vyakti sukh‑manasik day aaje chhe.,Today is International Mind‑Body Wellness Day. 
Western Ghats ma navu “Galaxy Frog” prajati maly chhe.,A new species of frog called “Galaxy Frogs” was discovered. 
Bharat ni arthvyavastha majboot bani chhe.,India’s economy has become strong.
Sarkar vikas mate navi yojana lagu kare chhe.,The government is implementing new development schemes.
Rozgar ni takat shaher ma vadhi chhe.,Employment opportunities are increasing in cities.
Desh ma vyapar vadhto chhe.,Trade is increasing in the country.
Kisan ne arthik madad malti chhe.,Farmers are receiving financial support.
Van sanrakshan par dhyan aapi rahya chhe.,Attention is being given to forest conservation.
Hawa pradushan ghatto chhe.,Air pollution is reducing.
Pani bachavva mate abhiyan chalu chhe.,Campaigns to save water are ongoing.
Prakriti ni raksha jaruri chhe.,Protecting nature is important.
Barish ni sthiti sudharti chhe.,Rainfall conditions are improving.
Vigyan kshetra ma navi shodh thai chhe.,New research is happening in science.
Desh ma antariksh abhiyaan safal chhe.,Space missions are successful in the country.
Takniki vikas tej bani rahyo chhe.,Technological development is becoming fast.
Navu yantra parikshan ma chhe.,A new device is under testing.
Vigyan shikshan ne protsahan male chhe.,Science education is being encouraged
Shiksha ni mahatta vadhi chhe.,The importance of education is increasing.
Mahila sashaktikaran par dhyan chhe.,Focus is on women empowerment.
Samaj ma jagrukta vadhti chhe.,Awareness is increasing in society.
Arogya seva sudhari chhe.,Health services are improving.
Lok samajik sahyog kari rahya chhe.,People are supporting social causes.
Antariksh shodh par desh dhyan aapi rahyo chhe.,The country is focusing on space research.
Upgrah antariksh ma safalta thi ghumto chhe.,The satellite is orbiting successfully in space.
Antariksh agency navu mission taiyar kare chhe.,The space agency is preparing a new mission.
Vigyanik antariksh ni jankari vadhaare chhe.,Scientists are increasing knowledge about space.
Antariksh yantra surakshit rite launch thayo chhe.,The spacecraft is launched safely.
Antariksh ma navi shodh thai rahyi chhe.,New discoveries are happening in space.
Chandrama par shodh karya jaa rahya chhe.,Research is being done on the moon.
Surya par adhyayan vadhto chhe.,Study of the sun is increasing.
Antariksh ma upgrah thi dharti ni madad male chhe.,Satellites in space are helping the Earth.
Antariksh shikshan mate yuvako utsahit chhe.,Youth are motivated to study space science.
Antariksh mission desh ne garv aape chhe.,Space missions give pride to the nation.
Antariksh taknik ma vikas thai rahyo chhe.,Space technology is developing.
Balak school jaato chhe.,The child goes to school.
Vidyarthi man lagaavi padhai kare chhe.,The student studies with concentration.
Guru path shikhavochhe.,The teacher teaches lessons.
Shala ma shikshan chaluchhe.,Education is going on in the school.
Vidyarthi pustak vachto chhe.,The student reads a book.
Guru shakya samjhavochhe.,The teacher explains patiently.
Vidyarthi prashna puchto chhe.,The student asks questions.
Shala ma discipline palay chhe.,Discipline is followed in the school.
Balak likhan shikhto chhe.,The child learns writing.
Vidyarthi pariksha mate taiyari kare chhe.,The student prepares for exams.
Guru vidyarthi ne protsahan aape chhe.,The teacher encourages the student.
Shikshan thi bhavishya sudhare chhe.,Education improves the future.
"Vidyarthi: Guruji, ma prashna puchu chhu.","Student: Teacher, I ask a question."
"Guru: Haan, prashna pucho.","Teacher: Yes, ask the question."
Vidyarthi: Aa paath samajh aave chhe?,Student: Is this lesson clear?
"Guru: Haan, dhire dhire samjhu.","Teacher: Yes, understand it slowly."
Vidyarthi: Ma aa kaam kari shaku?,Student: Can I do this work?
"Guru: Haan, tame kari shako.","Teacher: Yes, you can do it."
Vidyarthi: Mane madad joiye chhe.,Student: I need help.
Guru: Ma tamne madad karu chhu.,Teacher: I help you.
Vidyarthi: Aa uttar sacho chhe?,Student: Is this answer correct?
"Guru: Haan, aa uttar sacho chhe.","Teacher: Yes, this answer is correct."
Vidyarthi: Ma pustak vachu?,Student: Shall I read the book?
"Guru: Haan, pustak vacho.","Teacher: Yes, read the book."
Vidyarthi: Mane samay joiye chhe.,Student: I need time.
Guru: Thodo samay lo.,Teacher: Take some time.
Vidyarthi: Ma aaje shikho chhu.,Student: I am learning today.
Guru: Tame saras shikho chho.,Teacher: You are learning well.
"Vidyarthi: Guruji, pariksha sharu thayi chhe?","Student: Teacher, has the exam started?"
"Guru: Haan, pariksha sharu thayi chhe.","Teacher: Yes, the exam has started."
Vidyarthi: Mane prashna patra madse?,Student: Will I get the question paper?
"Guru: Haan, prashna patra lo.","Teacher: Yes, take the question paper."
Vidyarthi: Mane samajh nai aave chhe.,Student: I do not understand.
Guru: Shant raho ane vacho.,Teacher: Stay calm and read.
Vidyarthi: Ma uttar lakhva sharu karu?,Student: Shall I start writing answers?
"Guru: Haan, uttar lakhva sharu karo.","Teacher: Yes, start writing answers."
Vidyarthi: Mane vadhu samay joiye chhe.,Student: I need more time.
"Guru: Je samay chhe, e ma kaam karo.",Teacher: Work within the given time.
Vidyarthi: Ma pustak bandh karu?,Student: Shall I close the book?
"Guru: Haan, pustak bandh karo.","Teacher: Yes, close the book."
Vidyarthi: Pariksha mushkil chhe.,Student: The exam is difficult.
Guru: Himmat rakho ane prayatna karo.,Teacher: Be confident and try.
Vidyarthi: Ma kaam puru karyo chhe.,Student: I have finished the work.
Guru: Patra jama karo.,Teacher: Submit the paper.
Vidyarthi viva mate taiyar chhe.,The student is ready for the viva.
Vidyarthi prashna ne dhyan thi sambhale chhe.,The student listens to the question carefully.
Vidyarthi spashta rite bole chhe.,The student speaks clearly.
Vidyarthi prashna samajh chhe.,The student understands the question.
Vidyarthi uttar aape chhe.,The student gives the answer.
Vidyarthi udaharan aape chhe.,The student gives an example.
Vidyarthi vishay par gyaan batave chhe.,The student shows knowledge of the subject.
Vidyarthi shant rahe chhe.,The student remains calm.
Vidyarthi thodu vichar kare chhe.,The student thinks for a while.
Vidyarthi uttar samjhavto chhe.,The student explains the answer.
Vidyarthi aatmvishvas thi bole chhe.,The student speaks with confidence.
Vidyarthi bhool sudhare chhe.,The student corrects the mistake.
Vidyarthi viva puri kare chhe.,The student completes the viva.
Vidyarthi saras pradarshan kare chhe.,The student performs well.
Aaj match achho chhe.,Today the match is good.
Hu match jovu chhu.,I am watching the match.
A team jeetyo.,That team won.
A team haar gayo.,That team lost.
Player achho khel chhe.,The player is playing well.
Ball fast aayo.,The ball came fast.
Umpire decision sacho chhe.,The umpire’s decision is correct.
Ground ma ghano crowd chhe.,There is a lot of crowd in the ground.
Hu cricket pasand karu.,I like cricket.
Hu football khelu chhu.,I play football.
Match interesting chhe.,The match is interesting.
A player injured chhe.,That player is injured.
Team practice kare chhe.,The team is practicing.
Coach advice de chhe.,The coach is giving advice.
Final match aavto chhe.,The final match is coming.
Score high chhe.,The score is high.
Fielding strong chhe.,The fielding is strong.
Aaj training chhe.,There is training today.
Match late shuru thayo.,The match started late.
Team ready chhe.,The team is ready.
Hu office aayo chhu.,I have come to the office.
Aaj office ma kaam vadhu chhe.,There is more work in the office today.
Hu kaam sharu karu chhu.,I am starting the work.
